"item_id","doi","item_title"
W2923347852,"10.1063/1.5075637",Strain engineering in functional materials
W2801424540,"10.1002/cpet.22",Radiation Safety and Measurement
W2801585576,"10.4103/ajns.ajns_263_16",Armored brain associated with secondary craniostenosis development at 7-year following ventriculoperitoneal shunt surgery during infancy: Extremely unusual association and review
W2804432875,"10.26430/chungarica.2018.48.2.100",Telemonitoring and Contemporary Outpatient Management of Patients with Heart Failure: Is it Time?
W2885768121,"10.1017/s1431927618006165",Latest Developments in Environmental SEM Systems
W2887020922,"10.5194/isprs-archives-xlii-3-w4-343-2018",HUMANITARIAN AID DISTRIBUTION FRAMEWORK FOR NATURAL DISASTER MANAGEMENT
W2887237174,"10.1017/s1431927618004312",Composition and Thickness Mapping Using STEM EDS
W2894736416,"10.1136/bmjopen-2018-022273",Research protocol for the exploration of experiences of Aboriginal Australian mothers and healthcare professionals when using the Edinburgh Postnatal Depression Scale: a process-oriented validation study using triangulated participatory mixed methods
W2896671806,"10.1111/gcbb.12574",A plant‐specific model approach to assess effects of repowering measures on existing biogas plants: The case of Baden‐Wuerttemberg
W2899687997,"10.1097/rhu.0000000000000921",Assessing the Quality of Global Clinical Practice Guidelines on Gout Using AGREE II Instrument
W2908757251,"10.3389/fpls.2019.00002",Lipid Trafficking at Membrane Contact Sites During Plant Development and Stress Response
W2910406843,"10.1155/2019/2329168",Two-Dimensional Optical Metasurfaces: From Plasmons to Dielectrics
W2912052953,"10.1108/jamr-06-2018-0052",Factors affecting employee performance: a systematic literature review
W2912778060,"10.33380/2305-2066-2019-8-1-14-22","NANOBODIES: STRUCTURE, MANUFACTURING, APPLICATION (REVIEW)"
W2913330055,"10.1186/s12879-019-3676-1",Prolonged oral vancomycin for secondary prophylaxis of relapsing Clostridium difficile infection
W2914119531,"10.1097/acm.0000000000002635",Increasing Trust and Communication in Medical Education Through a Student-Led Social Justice Initiative
W2914460305,"10.18314/abne.v2i1.1515",Acute Psychosis Associated with Septo-Optic Dysplasia (De Morsier Syndrome)
W2914489229,"10.4103/1735-3327.250971",Central unilocular mucoepidermoid carcinoma of the mandible: A case report and literature review
W2919553181,"10.5937/markt802083t",Qualitative analysis of guest reviews of Italian restaurants on TripAdvisor
