"item_id","doi","item_title"
W2923347852,"10.1063/1.5075637",Strain engineering in functional materials
W2908757251,"10.3389/fpls.2019.00002",Lipid Trafficking at Membrane Contact Sites During Plant Development and Stress Response
W2912052953,"10.1108/jamr-06-2018-0052",Factors affecting employee performance: a systematic literature review
W2914119531,"10.1097/acm.0000000000002635",Increasing Trust and Communication in Medical Education Through a Student-Led Social Justice Initiative
W2914489229,"10.4103/1735-3327.250971",Central unilocular mucoepidermoid carcinoma of the mandible: A case report and literature review
W2955909757,"10.29173/mocs94",A Pilot Study of Identifying Execution Plan Differences for Accelerated Bridge Construction
W3131538999,"10.31871/wjir.9.6.10",An Investigation of the Impacts of Covid-19 Pandemic Spread on Nurses Fatigue: An Integrated Literature Review
W3142994663,"10.36076/ppj/2019.22.307",Effectiveness of Percutaneous Adhesiolysis in Post Lumbar Surgery Syndrome: A Systematic Analysis of Findings of Systematic Reviews
W3180701834,"10.1108/intr-05-2020-0300",Managing the tension between opposing effects of explainability of artificial intelligence: a contingency theory perspective
W3189452760,"10.29304/jqcm.2021.13.3.826",Survey of Iris Recognition using Deep Learning Techniques
W3194091185,"10.1167/iovs.62.10.23",Genotype-Phenotype of Isolated Foveal Hypoplasia in a Large Cohort: Minor Iris Changes as an Indicator of<i>PAX6</i>Involvement
W3212531300,"10.1002/hep.32240",Quality measures in HCC care by the Practice Metrics Committee of the American Association for the Study of Liver Diseases
W4200417652,"10.5194/isprs-archives-xlvi-4-w5-2021-565-2021","LAYOUT PLAN ANALYSIS ON URBAN PATHWAYS, NODES AND EDGES IN KUALA MUDA FISHING VILLAGE"
W4220863093,"10.1111/ggr.12421",Geostandards and Geoanalytical Research Bibliographic Review 2020
W4220955080,"10.1016/j.tele.2022.101812",People-centered distributed ledger technology-IoT architectures: A systematic literature review
W4225797107,"10.9734/jpri/2021/v33i62a35892",A Brief Overview of Diabetic Nephropathy
W4229038979,"10.36253/form-12845",Access to Career Education and Work-related Learning: a complex literature review on equity and inclusion
W4235345234,"10.35790/jbm.13.3.2021.31901",Hubungan Harga Diri dan Narsisme pada Siswa dan Mahasiswa Pengguna Media Sosial di Indonesia
W2963820758,"10.1136/bmjebm-2019-ebmlive.24","16 Adding capacity: getting EBP into the curriculum for all health professionals in ireland"
W2971862553,"10.25112/rco.v3i0.1865",OBJETOS DE APRENDIZAGEM E O ENSINO DA MATEMÁTICA: CONTEXTOS E APLICAÇÕES ACERCA DE SUA UTILIZAÇÃO EM MESTRADOS PROFISSIONAIS NA ÁREA DE ENSINO
W2986054062,"10.1016/j.aiepr.2019.11.001",Polyhydroxyalkanoates (PHA) toward cost competitiveness and functionality
W2993813554,"10.3390/su11236876",A Structured Literature Review on Obsolete Electric Vehicles Management Practices
W3007031153,"10.1146/annurev-earth-053018-060100",Moist Heat Stress on a Hotter Earth
W3014410467,"10.1016/j.childyouth.2020.104974",Children’s experiences with Child Protection Services: A synthesis of qualitative evidence
W3034254147,"10.3390/catal10060661",Bimetallic Catalysts for Volatile Organic Compound Oxidation
W3047917427,"10.20473/ijar.v2i22020.67-76",Screening Protocol of Propofol Infusion Syndrome
W3083563561,"10.1016/j.newar.2020.101546",Advances in Understanding High-Mass X-ray Binaries with INTEGRALand Future Directions
W3092309263,"10.1093/eurpub/ckaa165.565",COVID-19 and staff mental health: is there an evidence? An Italian field study
W3093742792,"10.14309/01.ajg.0000708844.53976.32",S1699 Treatment of Eosinophilic Colitis With Budesonide
W3095571313,"10.1088/1674-4527/20/10/160",Observational signatures of close binaries of supermassive black holes in active galactic nuclei
W4399507523,"10.30640/akuntansi45.v5i1.2489",Perhitungan Biaya Produk Berdasarkan Activity Based – Costing
W4399928775,"10.14419/gt310502",A hybrid framework for sustaining and managing Somali indigenous knowledge
W4401420073,"10.3389/fddev.2024.1436842",Strategies and delivery systems for cell-based therapy in autoimmunity
W4402411697,"10.3390/covid4090101",Trust Us—We Are the (COVID-19 Misinformation) Experts: A Critical Scoping Review of Expert Meanings of “Misinformation” in the Covid Era
W4240040962,"10.4102/ajod.v9i0.687",Altered cervical posture kinematics imposed by heavy school backpack loading: A literature synopsis (2009–2019)
W4240583547,"10.33245/2310-4902-2021-165-1-64-78",Modern condition of the problem of Lime Burreliosis of animals (systematic review)
W4248663128,"10.54144/jadbis.v9i1.4745",Pengaruh Reward Dan Punishment Terhadap Kinerja Karyawan Pada UD.Laris Anda Di Kota Samarinda
W4283219821,"10.24818/syn/2022/18/1.13",DE LA CITATION À LA REFORMULATION DANS L'ÉCRITURE DU MÉMOIRE DE MASTER
W4285802439,"10.47467/visa.v2i3.1237",Analisis Kinerja Pegawai Kantor Desa dalam Memberikan Pelayanan Administrasi Kepada Masyarakat:
W4288734201,"10.1016/j.heha.2022.100017","A meta-analysis of microbial contaminants in selected ready-to-eat foods in Bayelsa State, Nigeria: Public Health implications and risk-reduction strategies"
W4292340379,"10.1088/2634-4386/ac8a6a","2D materials and van der Waals heterojunctions for neuromorphic computing"
